               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11763,            0.071545,            0.047805,           0.0092327,            0.079448,           0.0033979,          0.00056919,             0.11244,            0.058931,            0.045487,             0.00015,             0.00015,             0.09865
                   1,             0.11014,            0.079868,            0.046608,            0.028364,            0.080264,            0.012997,           0.0025827,             0.10027,            0.067612,            0.043738,          0.00030999,          0.00030999,             0.09721
                   2,             0.10257,            0.096754,            0.044722,            0.062609,             0.11401,            0.041733,           0.0085408,            0.088393,            0.073358,            0.041872,          0.00046996,          0.00046996,             0.09577
                   3,            0.093039,            0.089674,            0.042204,             0.37391,             0.17915,             0.10786,             0.02755,             0.07899,            0.070728,            0.039742,          0.00062988,          0.00062988,             0.09433
                   4,            0.085529,            0.087518,            0.040095,             0.62887,             0.20673,             0.12408,            0.028889,            0.072799,            0.067651,            0.038199,          0.00078972,          0.00078972,             0.09289
                   5,             0.07808,            0.084594,            0.038551,             0.60101,             0.23562,              0.1092,             0.02227,            0.069422,            0.079859,            0.037061,          0.00094948,          0.00094948,            0.091449
                   6,            0.069843,            0.074959,            0.037085,             0.67893,             0.30229,             0.20732,            0.068514,            0.057163,            0.061489,            0.035618,           0.0011091,           0.0011091,            0.090009
                   7,            0.064383,            0.069541,            0.036326,             0.69466,              0.3529,             0.23816,             0.11062,            0.049582,            0.052894,            0.034694,           0.0012686,           0.0012686,            0.088569
                   8,            0.059325,            0.064514,            0.035879,             0.73026,             0.33907,             0.27979,             0.14123,            0.045249,            0.050605,            0.033999,            0.001428,            0.001428,            0.087128
                   9,            0.057584,            0.064721,            0.034886,             0.73755,             0.36363,             0.29597,             0.15445,            0.042828,            0.047338,            0.033248,           0.0015872,           0.0015872,            0.085687
                  10,            0.062485,            0.063975,            0.034392,             0.68314,             0.34843,             0.24194,            0.096829,            0.054113,            0.045472,            0.032837,           0.0017462,           0.0017462,            0.084246
                  11,            0.065252,            0.063568,            0.033698,              0.7705,             0.27057,             0.29084,             0.13317,            0.049684,            0.043796,            0.032054,           0.0019049,           0.0019049,            0.082805
                  12,            0.063517,            0.063797,             0.03288,             0.74379,             0.33956,              0.3166,              0.1171,            0.047354,            0.042894,            0.031199,           0.0020635,           0.0020635,            0.081363
                  13,            0.061151,            0.060148,            0.032099,              0.7099,              0.3214,             0.28444,             0.10681,            0.056198,            0.041252,             0.02958,           0.0022217,           0.0022217,            0.079922
                  14,             0.06186,            0.060185,            0.030583,             0.75157,             0.33576,             0.31641,             0.11923,            0.057253,            0.040753,            0.027404,           0.0023797,           0.0023797,             0.07848
                  15,            0.059175,            0.058074,             0.02874,             0.77207,             0.35482,             0.35148,             0.13407,            0.049287,            0.040523,            0.024683,           0.0025374,           0.0025374,            0.077037
                  16,            0.058442,            0.057726,            0.026179,             0.75182,             0.34352,             0.30898,             0.11154,            0.048484,            0.038671,            0.021565,           0.0026948,           0.0026948,            0.075595
                  17,            0.056211,            0.059044,            0.023124,             0.74386,             0.30703,             0.31015,             0.12277,            0.050551,             0.03814,            0.019589,           0.0028519,           0.0028519,            0.074152
                  18,            0.058371,            0.056304,            0.021505,             0.74075,             0.34743,             0.39425,             0.13872,            0.049831,            0.037375,            0.018152,           0.0030085,           0.0030085,            0.072709
                  19,            0.055811,            0.055643,             0.02025,             0.28892,             0.79778,             0.50468,             0.19717,            0.045504,            0.037204,            0.016949,           0.0031648,           0.0031648,            0.071265
